FirstName,LastName,Age,Pos,Tm,H/A,Opp,Column2,Date,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
Nikola,Vučević,30-066,C,ORL,A,OKC,W,12/29/2020,1,34,12,18,0.667,9,14,0.643,3,4,0.75,1,1,1,3,7,10,5,1,0,1,0,28,27.9,13.7
Nikola,Vučević,30-070,C,ORL,H,OKC,L,1/2/2021,1,35,13,21,0.619,9,14,0.643,4,7,0.571,0,0,0,2,11,13,2,0,0,1,1,30,25.2,13
Nikola,Vučević,30-072,C,ORL,H,CLE,W,1/4/2021,1,31,9,16,0.563,7,11,0.636,2,5,0.4,3,3,1,2,6,8,2,2,3,0,0,23,24.1,18.8
Evan,Fournier,28-055,G-F,ORL,H,MIA,W,12/23/2020,1,31,9,13,0.692,6,8,0.75,3,5,0.6,4,5,0.8,0,0,0,4,3,0,2,2,25,22.1,12.4
Aaron,Gordon,25-110,F,ORL,H,CLE,W,1/4/2021,1,28,9,17,0.529,3,8,0.375,6,9,0.667,0,0,0,6,5,11,1,1,0,2,1,24,20.7,15.8
Terrence,Ross,29-325,F-G,ORL,A,WAS,W,12/26/2020,0,28,9,14,0.643,6,8,0.75,3,6,0.5,4,4,1,0,2,2,1,2,0,2,0,25,20.1,8.2
Markelle,Fultz,22-211,G,ORL,A,WAS,W,12/26/2020,1,31,7,13,0.538,7,11,0.636,0,2,0,7,8,0.875,2,2,4,7,1,0,2,3,21,19,2.4
Terrence,Ross,29-332,F-G,ORL,H,OKC,L,1/2/2021,0,31,9,21,0.429,5,12,0.417,4,9,0.444,4,5,0.8,2,3,5,2,1,0,0,1,26,18.8,10.9
Nikola,Vučević,30-063,C,ORL,A,WAS,W,12/26/2020,1,31,8,20,0.4,6,13,0.462,2,7,0.286,4,4,1,3,14,17,3,2,0,3,1,22,18.2,0.7
Aaron,Gordon,25-098,F,ORL,H,MIA,W,12/23/2020,1,26,8,11,0.727,7,7,1,1,4,0.25,3,6,0.5,3,4,7,0,4,0,2,4,20,18,7.7
