Rk,Player,Age,Pos,Date,Tm,,Opp,,GmSc,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
1,Nikola Vučević\vucevni01,30-084,C,2021-01-16,ORL,@,BRK,L,33.1,1,36,14,22,.636,8,10,.800,6,12,.500,0,0,,4,6,10,7,5,0,4,4,34,18.5
2,Nikola Vučević\vucevni01,30-066,C,2020-12-29,ORL,@,OKC,W,27.9,1,34,12,18,.667,9,14,.643,3,4,.750,1,1,1.000,3,7,10,5,1,0,1,0,28,13.7
3,Nikola Vučević\vucevni01,30-077,C,2021-01-09,ORL,@,DAL,L,26.7,1,33,14,24,.583,12,17,.706,2,7,.286,0,0,,3,12,15,2,2,0,0,3,30,14.5
4,Nikola Vučević\vucevni01,30-070,C,2021-01-02,ORL,,OKC,L,25.2,1,35,13,21,.619,9,14,.643,4,7,.571,0,0,,2,11,13,2,0,0,1,1,30,13.0
5,Nikola Vučević\vucevni01,30-072,C,2021-01-04,ORL,,CLE,W,24.1,1,31,9,16,.563,7,11,.636,2,5,.400,3,3,1.000,2,6,8,2,2,3,0,0,23,18.8
6,Evan Fournier\fournev01,28-055,G-F,2020-12-23,ORL,,MIA,W,22.1,1,31,9,13,.692,6,8,.750,3,5,.600,4,5,.800,0,0,0,4,3,0,2,2,25,12.4
7,Aaron Gordon\gordoaa01,25-110,F,2021-01-04,ORL,,CLE,W,20.7,1,28,9,17,.529,3,8,.375,6,9,.667,0,0,,6,5,11,1,1,0,2,1,24,15.8
8,Nikola Vučević\vucevni01,30-079,C,2021-01-11,ORL,,MIL,L,20.6,1,32,11,24,.458,7,15,.467,4,9,.444,2,2,1.000,5,8,13,5,0,0,4,1,28,7.7
9,Terrence Ross\rosste01,29-325,F-G,2020-12-26,ORL,@,WAS,W,20.1,0,28,9,14,.643,6,8,.750,3,6,.500,4,4,1.000,0,2,2,1,2,0,2,0,25,8.2
10,Nikola Vučević\vucevni01,30-076,C,2021-01-08,ORL,@,HOU,L,19.8,1,30,8,19,.421,5,12,.417,3,7,.429,3,3,1.000,3,9,12,3,1,0,0,0,22,10.1
11,Aaron Gordon\gordoaa01,25-117,F,2021-01-11,ORL,,MIL,L,19.5,1,35,8,14,.571,5,10,.500,3,4,.750,2,3,.667,2,3,5,8,1,2,4,2,21,10.3
12,Markelle Fultz\fultzma01,22-211,G,2020-12-26,ORL,@,WAS,W,19.0,1,31,7,13,.538,7,11,.636,0,2,.000,7,8,.875,2,2,4,7,1,0,2,3,21,2.4
